pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
HD 169830 c,HD 169830,c,1,2,Radial Velocity,2003,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,276.9561859,-29.8167919,-8.4711,3.68683,-6.52399,276.06723,1818.82339,12.6,1.13,2437.42605,7.669,Mass,6.7,F7 V,6179.26,1.94,1.17,0.662,2.2,4.01,0.21453,,3.4,37.6048,Gas Giant
HD 170469 b,HD 170469,b,2,1,Radial Velocity,2007,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,277.2955423,11.6954244,10.19103,40.94007,34.91407,278.72231,1145.0,14.1,1.25,209.7678,0.66,Msini,0.411,G5 IV,5842.0,1.24,1.1,0.204,6.7,4.3,0.69157,13.0,1.7,60.178,Gas Giant
HD 17092 b,HD 17092,b,1,1,Radial Velocity,2007,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,41.5924261,49.6530375,-9.07471,141.30331,31.8903,55.23109,359.89999,12.5,1.11,3219.6179,10.13,Msini,9.06,K0 III,4326.0,13.58,6.73,1.756,2.6,3.0,,,,228.422,Gas Giant
HD 171028 b,HD 171028,b,1,1,Radial Velocity,2007,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,278.0643694,6.9456827,7.41135,36.96748,30.12596,279.26517,550.0,13.2,1.18,832.7146,2.62,Msini,1.99,G0,5671.0,2.47,1.53,0.733,8.59,3.84,0.08728,,2.14,111.659,Gas Giant
HD 171238 b,HD 171238,b,1,1,Radial Velocity,2009,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,278.6818389,-28.0727849,-9.05461,5.94504,-4.86472,277.68173,1532.0,12.5,1.12,2796.88998,8.8,Mass,7.87,G8 V,5440.0,1.01,0.96,-0.09,7.56,4.43,1.73124,,1.48,44.8113,Gas Giant
HD 17156 b,HD 17156,b,1,1,Radial Velocity,2007,Ground,Subaru Telescope,8.2 m Subaru Telescope,HDS Spectrograph,42.4366123,71.7530882,10.9937,131.99027,51.93437,67.98451,21.21663,12.33,1.1,1115.5833,3.51,Mass,3.78,G5,6040.0,1.55,1.41,0.39,3.37,4.2,0.53,12.8,2.8,78.0863,Gas Giant
HD 173416 b,HD 173416,b,1,1,Radial Velocity,2008,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,280.9005676,36.556857,17.21933,65.74238,59.34203,287.32754,322.03,13.4,1.2,585.1221,1.841,Msini,1.34,G8,4683.0,13.5,2.0,1.892,1.73,2.48,,,,132.184,Gas Giant
HD 174205 b,HD 174205,b,1,1,Radial Velocity,2022,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph,280.7932014,70.7928237,26.17781,101.44139,84.24413,52.09948,582.0,13.0,1.16,1334.87931,4.2,Msini,3.34,K2,4308.0,26.6,1.8,2.378,1.7,1.8,,,1.6,234.027,Gas Giant
HD 175167 b,HD 175167,b,1,1,Radial Velocity,2009,Ground,Las Campanas Observatory,6.5 m Magellan II Clay Telescope,MIKE Spectrograph,285.0033888,-69.9450664,-26.08807,325.36189,-46.89427,277.46056,1175.0,12.3,1.09,4703.86042,14.8,Mass,13.9,G5 IV/V,5635.0,1.75,1.09,0.456,,4.09,0.25773,,,71.0863,Gas Giant
HD 175541 b,HD 175541,b,1,1,Radial Velocity,2007,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,283.9203211,4.2649344,1.00153,37.21115,26.95286,285.61312,298.43,14.1,1.26,190.06234,0.598,Msini,0.373,G8 IV,5013.0,4.19,1.39,0.934,1.9,3.33,,,2.9,129.603,Gas Giant
HD 17674 b,HD 17674,b,1,1,Radial Velocity,2017,Ground,Haute-Provence Observatory,1.93 m Telescope,Multiple Instruments,42.7684964,30.2865981,-25.86168,151.51873,13.26586,49.36127,623.8,13.9,1.24,276.5121,0.87,Msini,0.566,G0 V,5904.0,1.18,0.98,0.205,8.4,4.34,0.85881,,2.3,44.4264,Gas Giant
HD 177830 b,HD 177830,b,2,2,Radial Velocity,1999,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,286.3363574,25.9204327,8.67193,57.68396,48.10498,292.26211,410.10001,13.5,1.2,537.1327,1.69,Msini,1.2,K0,4901.0,3.26,1.7,0.685,4.4,3.64,,,0.68,62.7674,Gas Giant
HD 177830 c,HD 177830,c,2,2,Radial Velocity,2010,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,286.3363574,25.9204327,8.67193,57.68396,48.10498,292.26211,110.9,7.87,0.702,47.6725,0.15,Msini,0.537,K0,4949.0,2.62,1.47,0.685,4.4,3.65,,,0.68,62.7674,Gas Giant
HD 178911 B b,HD 178911 B,b,3,1,Radial Velocity,2001,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,287.2632091,34.6006972,11.69384,65.99249,56.47737,296.24755,71.484,12.6,1.12,2552.1749,8.03,Msini,7.01,G5,5588.0,1.08,1.24,-0.043,,4.46,1.28618,,1.9,40.9727,Gas Giant
HD 179949 b,HD 179949,b,1,1,Radial Velocity,2000,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,288.8890182,-24.1797939,-15.78659,13.45534,-1.86049,287.18685,3.092514,13.9,1.24,291.12,0.916,Msini,0.596,F8 V,6168.0,1.27,1.21,0.301,1.0,4.34,0.85977,,6.3,27.4573,Gas Giant
HD 180053 b,HD 180053,b,1,1,Radial Velocity,2018,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,288.4008374,34.9146658,10.98272,66.68904,56.57716,298.02994,213.72,13.3,1.19,697.31902,2.194,Msini,1.63,K0,5131.0,4.06,1.75,1.099,,3.54,,,,137.043,Gas Giant
HD 18015 b,HD 18015,b,1,1,Radial Velocity,2018,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,43.3636339,-8.8480392,-55.8753,186.31902,-24.26741,37.99827,2278.0,13.1,1.17,1048.83374,3.3,Mass,2.56,G6 IV,5603.0,3.13,1.49,0.974,,3.64,,,4.0,123.801,Gas Giant
HD 180314 b,HD 180314,b,1,1,Radial Velocity,2010,Ground,Subaru Telescope,8.2 m Subaru Telescope,HDS Spectrograph,288.7094401,31.8604391,9.41869,64.0106,53.5416,297.28457,394.73,12.0,1.07,7216.92964,22.707,Msini,22.9,K0,4917.0,9.2,2.6,1.643,1.295,2.98,,,,122.362,Gas Giant
HD 180902 b,HD 180902,b,2,1,Radial Velocity,2009,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,289.8239604,-23.5582432,-16.32996,14.39883,-1.35714,288.11283,510.9,13.5,1.2,535.54355,1.685,Msini,1.2,K0 III/IV,4961.0,4.16,1.41,0.973,2.8,3.36,,,1.36,104.577,Gas Giant
HD 181234 b,HD 181234,b,1,1,Radial Velocity,2019,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,289.9998695,-9.32497,-10.54743,27.7801,12.71994,290.23835,7593.40512,12.5,1.12,2980.91263,9.379,Mass,8.39,G8 IV,5386.0,1.06,0.94,-0.099,6.32,4.37,1.26775,50.8,2.105,47.7458,Gas Giant
HD 181342 b,HD 181342,b,1,1,Radial Velocity,2009,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,290.2674078,-23.6196996,-16.7282,14.50487,-1.47344,288.51103,564.1,13.2,1.18,807.2882,2.54,Msini,1.93,K0 III,4945.0,4.71,1.69,1.079,1.8,3.28,,,1.9,120.391,Gas Giant
HD 18143 c,HD 18143,c,1,2,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,43.9140248,26.8723829,-28.29389,154.43765,9.70693,49.30924,28982.41764,12.5,1.11,3177.64841,9.998,Mass,8.94,K2,5078.0,0.87,0.85,-0.32,9.4,4.51,1.67527,,0.0,22.5243,Gas Giant
HD 181433 c,HD 181433,c,1,3,Radial Velocity,2008,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,291.2873731,-66.4677838,-28.04356,329.51487,-43.8838,281.60203,962.0,14.1,1.26,203.0,0.64,Msini,0.398,K3 IV,4962.0,0.81,0.78,-0.511,6.7,4.37,2.14212,54.0,1.5,26.8762,Gas Giant
HD 181433 d,HD 181433,d,1,3,Radial Velocity,2008,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,291.2873731,-66.4677838,-28.04356,329.51487,-43.8838,281.60203,2172.0,14.2,1.27,171.0,0.54,Msini,0.328,K3 IV,4962.0,0.81,0.78,-0.511,6.7,4.37,2.14212,54.0,1.5,26.8762,Gas Giant
HD 181720 b,HD 181720,b,1,1,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,290.7212224,-32.9208401,-20.48764,5.51512,-10.73865,287.59577,956.0,14.0,1.25,127.132,0.4,Msini,0.255,G1 V,5736.0,1.5,1.03,0.288,,4.09,0.42706,,1.5,60.2046,Gas Giant
HD 183263 b,HD 183263,b,1,2,Radial Velocity,2004,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,292.1022982,8.3579183,-4.30987,44.60924,29.86734,295.41815,624.87404,13.1,1.17,1103.1824,3.471,Msini,2.7,G2 IV,5948.0,1.23,1.06,0.25,8.13,4.37,0.69443,,1.6,54.1955,Gas Giant
