pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
Kepler-1425 b,Kepler-1425,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,294.9510368,43.0124348,10.06318,76.36694,62.82022,312.47546,14.4541302,0.94,0.084,0.779,0.00245,M-R relationship,5.15,,5718.0,0.95,0.97,0.398,4.07,4.47,0.21194,,,863.873,Terrestrial
Kepler-1435 b,Kepler-1435,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.1732806,44.9210836,13.34793,76.86991,65.57558,308.20778,4.45343281,0.86,0.077,0.566,0.00178,M-R relationship,4.89,,6356.0,1.32,1.21,0.468,2.63,4.28,0.63089,,,704.211,Terrestrial
Kepler-1438 b,Kepler-1438,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,289.289819,40.6816262,12.80585,72.32643,61.97983,302.22601,2.31942009,0.94,0.084,0.779,0.00245,M-R relationship,5.15,,5530.0,0.96,0.97,0.123,5.37,4.46,3.7238,,,1154.13,Terrestrial
Kepler-1443 b,Kepler-1443,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,283.4357392,47.0667983,19.13232,76.80044,69.27043,296.56011,2.41811321,0.97,0.087,0.871,0.00274,M-R relationship,5.24,,6289.0,1.27,1.19,0.561,2.63,4.3,0.45275,,14.7,593.646,Terrestrial
Kepler-1445 b,Kepler-1445,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,280.2495197,43.9150665,20.20993,72.86159,66.6833,288.89516,10.60052251,0.96,0.086,0.84,0.00264,M-R relationship,5.22,,6150.0,1.26,1.13,0.34,3.8,4.28,0.77032,,3.4,506.357,Terrestrial
Kepler-1446 b,Kepler-1446,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,289.4240357,46.7260823,15.20358,78.04646,67.69193,306.90982,0.68996783,0.82,0.073,0.477,0.0015,M-R relationship,4.75,,4865.0,0.75,0.81,-0.651,2.63,4.6,3.39604,,,152.075,Terrestrial
Kepler-1464 c,Kepler-1464,c,1,2,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,287.2356828,38.7540824,13.44295,69.85238,60.52809,298.01193,5.32786292,1.0,0.089,0.972,0.00306,M-R relationship,5.34,,5828.0,1.01,1.02,0.43,3.89,4.44,0.43945,,,1151.73,Terrestrial
Kepler-1505 b,Kepler-1505,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,292.0020614,41.7869639,11.444,74.24726,62.42043,307.11067,30.8609366,0.93,0.083,0.749,0.00236,M-R relationship,5.12,,5686.0,0.86,0.93,0.149,1.7,4.54,0.69052,,,495.148,Terrestrial
Kepler-1507 b,Kepler-1507,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,288.5616269,46.5361247,15.67191,77.62192,67.71545,305.2717,16.0506213,0.84,0.075,0.52,0.00164,M-R relationship,4.82,,5410.0,0.85,0.89,-0.324,4.57,4.53,2.45597,,,320.478,Terrestrial
Kepler-1525 b,Kepler-1525,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,290.5594479,49.9428629,15.79943,81.41906,70.37808,312.29911,2.41660118,0.91,0.081,0.693,0.00218,M-R relationship,5.05,,5748.0,1.04,1.07,-0.011,2.82,4.44,1.17993,,,382.989,Terrestrial
