rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist
1,11 Com b,11 Com,b,2,1,Radial Velocity,2007,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,185.1787793,17.7932516,78.28058,264.13775,18.33392,177.4179,323.21,12.2,1.09,4914.89849,15.464,Msini,14.9,G8 III,4874.0,13.76,2.09,1.978,,2.45,,,1.2,93.1846
2,11 UMi b,11 UMi,b,1,1,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,229.2745954,71.8239428,41.04437,108.719,74.95821,141.64699,516.21997,12.3,1.09,4684.8142,14.74,Msini,13.8,K4 III,4213.0,29.79,2.78,2.43,1.56,1.93,,,1.5,125.321
3,14 And b,14 And,b,1,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,352.82415,39.2358367,-21.05141,106.41269,38.22901,11.95935,186.76,13.1,1.16,1131.1513,3.559,Msini,2.76,K0 III,4888.0,11.55,1.78,1.84,4.5,2.55,,,2.6,75.4392
4,14 Her b,14 Her,b,1,2,Radial Velocity,2002,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,242.6021014,43.8163621,46.94447,69.16849,62.87885,223.24717,1765.0389,12.6,1.12,2559.47216,8.053,Mass,7.03,K0 V,5338.0,0.93,0.91,-0.153,3.9,4.45,1.27393,,1.0,17.9323
5,16 Cyg B b,16 Cyg B,b,3,1,Radial Velocity,1996,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,295.4656422,50.5168243,13.20446,83.33558,69.46803,321.21176,798.5,13.5,1.2,565.7374,1.78,Msini,1.26,G3 V,5750.0,1.13,1.08,0.097,7.4,4.36,1.01103,,2.7,21.1397
6,17 Sco b,17 Sco,b,1,1,Radial Velocity,2020,Ground,Lick Observatory,Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,243.4620874,-11.8377905,27.34301,1.30262,9.21181,243.70449,578.38,12.9,1.15,1373.01872,4.32,Msini,3.51,K3 III,4157.0,25.92,1.22,2.254,5.13,1.7,,329.49,3.98,124.953
7,18 Del b,18 Del,b,2,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,314.6078375,10.8391378,-21.9748,58.69121,26.78678,320.58706,982.85,12.5,1.12,2926.24614,9.207,Msini,8.23,G6 III,4980.0,8.8,2.1,1.634,1.1,2.87,,,,76.222
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,Imaging,2008,Ground,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,242.3762343,-21.0831403,22.03031,352.8905,-0.06852,244.36567,,18.647,1.664,3000.0,8.0,Mass,2.54,K7 V,4060.0,1.31,0.85,-0.37,0.005,4.0,0.38789,,,139.135
9,24 Boo b,24 Boo,b,1,1,Radial Velocity,2018,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,217.1555242,49.8446488,60.6447,90.16373,58.88795,185.91956,30.33,13.9,1.24,280.64248,0.883,Msini,0.574,G3 IV,4816.0,12.19,1.05,1.877,6.92,2.28,,,3.36,95.9863
10,24 Sex b,24 Sex,b,1,2,Radial Velocity,2010,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,155.8684866,-0.9023998,44.7158,245.08569,-10.19818,157.99391,452.8,13.4,1.19,632.46,1.99,Msini,1.44,K0 IV,5098.0,4.9,1.54,1.164,2.7,3.5,,,2.77,72.0691
11,24 Sex c,24 Sex,c,1,2,Radial Velocity,2010,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,155.8684866,-0.9023998,44.7158,245.08569,-10.19818,157.99391,883.0,13.9,1.24,273.32,0.86,Msini,0.559,K0 IV,5098.0,4.9,1.54,1.164,2.7,3.5,,,2.77,72.0691
12,2M0437 b,2MASS J04372171+2651014,b,1,1,Imaging,2021,Ground,Subaru Telescope,8.2 m Subaru Telescope,Infrared Camera and Spectrograph (IRCS),69.3405531,26.8502997,-13.44593,172.81975,4.72193,71.58413,,13.0,1.16,1271.31363,4.0,Mass,3.18,M V,3100.0,0.84,0.17,-1.164,0.003,4.5,3.32018,1.84,22.54,128.484
13,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,2,1,Imaging,2013,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,15.8992489,-55.2658291,-61.77586,299.26888,-54.69414,341.46812,,12.3,1.1,4131.79,13.0,Mass,12.2,M5.5/M6,,,0.19,,0.03,,,,,47.2
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,1,1,Imaging,2013,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,20.7128012,-24.6646128,-82.5199,195.45385,-30.71197,8.62267,,11.209,1.0,7786.5,24.5,Mass,30.4,M3.5 V,3530.0,0.37,0.4,-1.72,0.12,4.86,10.11868,,,33.8281
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,1,1,Imaging,2015,Ground,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,34.8427046,-39.4230767,-67.98402,252.45343,-49.30514,13.50901,,16.141,1.44,4417.837,13.9,Mass,5.77,M6,3064.0,0.28,0.11,-2.23,0.035,4.59,17.67076,,6.5,40.0896412
16,2MASS J0249-0557 c,2MASS J0249-0557 A,c,2,1,Imaging,2018,Ground,Mauna Kea Observatory,3.58 m Canada-France-Hawaii Telescope (CFHT),WIRCam,42.4851627,-5.9599921,-54.7665,181.3869,-21.25209,38.09147,,12.4,1.11,3686.80952,11.6,Mass,10.6,M6 V,2859.0,0.32,0.05,-2.59,0.022,4.91,13.18121,,,66.0613
17,2MASS J03590986+2009361 b,2MASS J03590986+2009361,b,1,1,Imaging,2024,Space,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,Gaia CCD array,59.7911026,20.1599759,-24.41615,171.7948,-0.37206,61.80997,,12.2,1.08,5720.91133,18.0,Mass,17.3,,2943.0,0.29,0.26,-2.246,,4.94,15.35385,,,117.435
18,2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,1,1,Imaging,2010,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera,70.4371079,23.0308544,-15.11435,176.51065,0.80236,72.05025,,12.6,1.13,2383.6,7.5,Mass,6.55,M8.5,2936.0,0.23,0.02,-2.444,0.001,5.01,22.7811,,,120.423987
19,2MASS J11011926-7732383 b,2MASS J11011926-7732383,b,1,1,Imaging,2024,Space,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,Gaia CCD array,165.3295388,-77.5440912,-15.96361,296.98009,-66.5799,238.33044,,11.9,1.06,8899.1954,28.0,Mass,29.0,,,,,,,,,,,
20,2MASS J11550485-7919108 b,2MASS J11550485-7919108,b,1,1,Imaging,2024,Space,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,Gaia CCD array,178.7691634,-79.3197558,-16.7447,300.23137,-64.57818,244.42577,,12.1,1.08,6356.56814,20.0,Mass,19.7,,3021.0,0.6,0.59,-1.568,,4.65,3.83213,,,100.862
21,2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,1,1,Imaging,2004,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,181.8890906,-39.5484399,22.54309,293.79011,-35.03506,199.73955,,12.9,1.15,1589.15,5.0,Mass,4.07,M8,2825.0,0.22,0.02,-2.561,0.008,5.03,25.27945,,,64.308
22,2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,2,3,Eclipse Timing Variations,2015,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,294.6359173,46.0664076,11.67426,79.01876,65.72534,314.70935,406.0,13.4,1.2,603.877,1.9,Mass,1.38,,29564.0,0.2,0.48,1.45,,5.51,,,,396.332
23,2MASS J21252752-8138278 b,2MASS J21252752-8138278,b,1,1,Imaging,2024,Space,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,Gaia CCD array,321.3662989,-81.6414894,-32.11971,310.65078,-60.6492,283.39145,,12.4,1.1,3813.94088,12.0,Mass,11.0,,3592.0,0.67,0.64,-1.168,,4.59,2.98068,,,34.1154
24,2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,1,1,Imaging,2016,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,339.1025931,47.861683,-9.10923,100.74846,50.8533,6.85902,,12.3,1.1,3972.875,12.5,Mass,11.7,K7 V,4045.0,0.64,0.6,-1.021,0.12,4.62,3.36994,,,69.5737
25,30 Ari B b,30 Ari B,b,4,1,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,39.2412736,24.6480103,-32.3093,151.47681,8.85457,44.56452,335.10001,12.3,1.1,4392.4106,13.82,Msini,13.0,F6 V,6331.0,1.41,1.93,0.381,0.91,4.43,0.743,,38.3,44.657
26,4 UMa b,4 UMa,b,1,1,Radial Velocity,2006,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,130.0528099,64.3280504,35.95654,151.35882,44.02809,112.80905,270.27,12.6,1.12,2511.48007,7.902,Msini,6.9,K1 III,4415.0,18.11,1.23,2.062,4.604,1.8,,,,73.4603
27,42 Dra b,42 Dra,b,2,1,Radial Velocity,2008,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,276.4975053,65.5633652,27.12504,95.41912,87.18291,342.26846,479.1,13.0,1.16,1233.13,3.88,Msini,3.08,K1.5 III,4200.0,22.03,0.98,2.155,9.49,1.71,,,1.0,90.6545
28,47 UMa b,47 UMa,b,1,3,Radial Velocity,1996,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,164.8647611,40.4304931,63.3677,175.78305,31.06122,149.06831,1078.0,13.2,1.18,804.08,2.53,Msini,1.92,G0 V,5872.0,1.21,1.06,0.198,6.48,4.3,0.83662,,2.8,13.7967
29,47 UMa c,47 UMa,c,1,3,Radial Velocity,2001,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,164.8647611,40.4304931,63.3677,175.78305,31.06122,149.06831,2391.0,14.2,1.27,171.621,0.54,Msini,0.329,G1 V,5872.0,1.21,1.06,0.198,6.48,4.3,0.83662,,2.8,13.7967
30,47 UMa d,47 UMa,d,1,3,Radial Velocity,2009,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,164.8647611,40.4304931,63.3677,175.78305,31.06122,149.06831,14002.0,13.5,1.2,521.22,1.64,Msini,1.16,G0V,5872.0,1.21,1.06,0.198,6.48,4.3,0.83662,,2.8,13.7967
31,51 Eri b,51 Eri,b,3,1,Imaging,2015,Ground,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager,69.4007424,-2.4738245,-30.65764,198.61297,-24.30532,67.30974,11688.0,13.4,1.19,635.66,2.0,Mass,1.45,F0 IV,7295.0,1.49,1.75,0.85,0.02,4.31,0.70712,,65.19,29.7575
32,51 Peg b,51 Peg,b,1,1,Radial Velocity,1995,Ground,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,344.3675399,20.7690958,-34.7275,90.06374,25.18633,354.28512,4.230785,14.3,1.27,146.2018,0.46,Mass,0.275,G5V,5758.0,1.18,1.03,0.136,10.0,4.31,0.89374,30.0,2.2,15.4614
33,55 Cnc b,55 Cnc,b,2,5,Radial Velocity,1996,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,133.1468373,28.3298154,37.69663,196.79526,10.36555,127.72682,14.6516,13.9,1.24,263.9785,0.8306,Mass,0.54,K0 IV-V,5172.0,0.94,0.91,-0.197,5.5,4.43,1.41851,38.8,1.23,12.5855
34,55 Cnc c,55 Cnc,c,2,5,Radial Velocity,2004,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,133.1468373,28.3298154,37.69663,196.79526,10.36555,127.72682,44.3989,8.51,0.76,54.4738,0.1714,Mass,0.486,G8V,5172.0,0.94,0.91,-0.197,10.2,4.43,1.41851,38.8,1.23,12.5855
35,55 Cnc d,55 Cnc,d,2,5,Radial Velocity,2002,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,133.1468373,28.3298154,37.69663,196.79526,10.36555,127.72682,5574.2,13.0,1.16,1232.493,3.878,Mass,3.08,G8 V,5172.0,0.94,0.91,-0.197,5.5,4.43,1.41851,38.8,1.23,12.5855
36,55 Cnc e,55 Cnc,e,2,5,Radial Velocity,2004,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,133.1468373,28.3298154,37.69663,196.79526,10.36555,127.72682,0.7365474,1.875,0.167,7.99,0.02514,Mass,6.66,G8 V,5172.0,0.94,0.91,-0.197,10.2,4.43,1.5212,38.8,1.23,12.5855
37,55 Cnc f,55 Cnc,f,2,5,Radial Velocity,2007,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,133.1468373,28.3298154,37.69663,196.79526,10.36555,127.72682,259.88,7.59,0.677,44.812,0.141,Mass,0.563,G8V,5172.0,0.94,0.91,-0.197,10.2,4.43,1.41851,38.8,1.23,12.5855
38,6 Lyn b,6 Lyn,b,1,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,97.6960311,58.1611753,20.18918,156.97286,34.85376,94.93477,919.86,13.4,1.2,597.83523,1.881,Msini,1.37,K0 IV,4941.0,4.94,1.32,1.119,2.353,3.16,,,1.32,54.6599
39,61 Vir b,61 Vir,b,1,3,Radial Velocity,2009,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,199.596455,-18.3157745,44.08875,311.85177,-9.3038,205.00463,4.215,2.11,0.188,5.1,0.016,Msini,2.98,G5 V,5577.0,0.96,0.94,-0.095,8.96,4.34,1.44933,,1.9,8.50332
40,61 Vir c,61 Vir,c,1,3,Radial Velocity,2009,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,199.596455,-18.3157745,44.08875,311.85177,-9.3038,205.00463,38.021,4.46,0.398,18.2,0.057,Msini,1.13,G5 V,5577.0,0.96,0.94,-0.095,8.96,4.34,1.44933,,1.9,8.50332
41,61 Vir d,61 Vir,d,1,3,Radial Velocity,2009,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,199.596455,-18.3157745,44.08875,311.85177,-9.3038,205.00463,123.01,5.11,0.456,22.9,0.072,Msini,0.943,G5 V,5577.0,0.96,0.94,-0.095,8.96,4.34,1.44933,,1.9,8.50332
42,7 CMa b,7 CMa,b,1,2,Radial Velocity,2011,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,99.171276,-19.2561808,-11.79597,228.68876,-42.32234,101.73845,735.1,13.4,1.2,587.9855,1.85,Msin(i)/sin(i),1.34,K1 III,4826.0,4.87,1.34,1.063,4.3,3.19,,,1.15,19.8101
43,7 CMa c,7 CMa,c,1,2,Radial Velocity,2019,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,99.171276,-19.2561808,-11.79597,228.68876,-42.32234,101.73845,996.0,13.9,1.24,276.5121,0.87,Msin(i)/sin(i),0.566,K1III(+M),4826.0,4.87,1.34,1.063,4.3,3.19,,,1.15,19.8101
44,70 Vir b,70 Vir,b,1,1,Radial Velocity,1996,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,202.1064898,13.7763085,74.0991,337.65749,21.3381,194.97087,116.688,12.6,1.13,2380.45,7.49,Mass,6.54,G5V,5495.0,1.89,1.09,0.451,7.77,3.95,0.19024,,1.56,17.9011
45,75 Cet b,75 Cet,b,2,2,Radial Velocity,2012,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,38.0391598,-1.0350269,-54.44177,169.94418,-15.16759,35.32138,696.62,13.3,1.18,787.89662,2.479,Msini,1.84,G3 III,4809.0,10.38,1.92,1.714,,2.69,,,1.77,82.9613
46,75 Cet c,75 Cet,c,2,2,Radial Velocity,2023,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,38.0391598,-1.0350269,-54.44177,169.94418,-15.16759,35.32138,2051.62,13.9,1.24,289.85951,0.912,Msini,0.593,G3 III,4809.0,10.38,1.92,1.714,,2.69,,,1.77,82.9613
47,8 UMi b,8 UMi,b,1,1,Radial Velocity,2015,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph,224.201685,74.9009379,39.66099,112.79492,73.34497,130.65518,93.4,13.6,1.22,416.3573,1.31,Msini,0.91,K0,4847.0,10.3,1.44,1.725,1.7,2.57,,,3.6,162.552
48,81 Cet b,81 Cet,b,1,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,39.4243555,-3.3963607,-55.24995,174.48697,-17.84979,35.89019,1005.57,13.1,1.17,1051.05854,3.307,Msini,2.57,G5 III,4734.0,11.21,1.23,1.76,,2.41,,,1.8,101.26
49,91 Aqr b,91 Aqr,b,3,1,Radial Velocity,2013,Ground,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,348.9745031,-9.0878076,-61.11327,67.07416,-4.00228,346.30621,181.4,13.1,1.17,1017.0,3.2,Msini,2.49,K0 III,4665.0,11.0,1.4,1.692,3.56,2.52,,,3.9,44.0304
50,AB Aur b,AB Aur,b,1,1,Imaging,2022,Ground,Subaru Telescope,8.2 m Subaru Telescope,Subaru Coronagraphic Extreme Adaptive Opti,73.9410446,30.5510888,-7.98082,172.49916,7.88431,76.0841,,12.5,1.12,2860.45566,9.0,Mass,8.05,,9770.0,2.96,2.4,1.771,0.003,3.77,0.1033,,,162.127
51,AB Pic b,AB Pic,b,1,1,Imaging,2005,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,94.8039208,-58.0541184,-26.93081,266.94347,-81.21165,106.85953,,12.3,1.1,4290.5,13.5,Mass,12.7,K2 V,5285.0,1.0,0.9,-0.226,0.03,4.53,1.12014,,10.35,50.0475
52,AF Lep b,AF Lep,b,1,1,Imaging,2023,Ground,Paranal Observatory,8.2 m ESO VLT UT3 Melipal Telescope,SPHERE,81.7699216,-11.9011752,-24.04116,214.37435,-35.05939,80.14319,8030.0,13.1,1.17,1017.0509,3.2,Mass,2.49,F8 V,6130.0,1.25,1.2,0.29,0.024,4.4,1.45415,1.01,50.0,26.8564
53,AU Mic b,AU Mic,b,1,3,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,311.2911369,-31.34245,-36.80401,12.65304,-12.82465,305.30682,8.4629991,3.957,0.353,20.12,0.0633,Mass,1.32,M1,3665.0,0.82,0.5,-0.99,0.019,4.4,1.75,4.86,8.5,9.7221
54,AU Mic c,AU Mic,c,1,3,Transit,2021,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,311.2911369,-31.34245,-36.80401,12.65304,-12.82465,305.30682,18.858991,3.24,0.289,9.6,0.0302,Mass,1.22,M1,3665.0,0.82,0.5,-0.99,0.019,4.4,1.75,4.86,8.5,9.7221
55,AU Mic d,AU Mic,d,1,3,Transit Timing Variations,2023,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,311.2911369,-31.34245,-36.80401,12.65304,-12.82465,305.30682,12.73596,1.02,0.091,1.053,0.00331,Mass,5.45,M1,3678.0,0.74,0.51,-1.038,0.02,4.4,1.75,4.86,8.5,9.7221
56,BD+03 2562 b,BD+03 2562,b,1,1,Radial Velocity,2017,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,177.5647268,2.7601075,61.57342,269.32522,1.56429,176.66835,481.9,12.7,1.13,2034.112,6.4,Msini,5.46,,4095.0,32.35,1.14,2.7,5.2,1.89,,,2.7,1070.63
57,BD+14 4559 b,BD+14 4559,b,1,1,Radial Velocity,2009,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,318.4010002,14.6893834,-22.63172,64.41837,29.21653,325.9764,268.94,13.8,1.23,330.5432,1.04,Msini,0.691,K2 V,4864.0,0.86,0.49,-0.32,,4.26,1.73113,,2.5,49.352
58,BD+15 2375 b,BD+15 2375,b,1,1,Radial Velocity,2016,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,176.4820239,14.6163182,70.27244,249.00212,11.99953,170.89104,153.22,13.8,1.23,337.21763,1.061,Msini,0.705,G5,4649.0,8.95,1.08,1.57,7.41,2.61,,,2.5,768.045
59,BD+15 2940 b,BD+15 2940,b,1,1,Radial Velocity,2013,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,240.09564,15.5467507,44.78011,28.10432,35.31759,233.93894,137.48,13.7,1.23,352.78,1.11,Msini,0.754,K0,4796.0,14.7,1.1,2.01,7.1,2.8,,,2.3,426.42
60,BD+20 2457 b,BD+20 2457,b,1,2,Radial Velocity,2009,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,154.186782,19.8912626,53.95226,216.04472,8.58559,148.87814,379.63,12.1,1.08,6807.63,21.42,Msini,21.1,K2 II,4137.0,49.0,2.8,3.17,,1.51,,,2.5,1539.71
61,BD+20 2457 c,BD+20 2457,c,1,2,Radial Velocity,2009,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,154.186782,19.8912626,53.95226,216.04472,8.58559,148.87814,621.99,12.4,1.1,3963.17,12.47,Msini,11.4,K2 II,4137.0,49.0,2.8,3.17,,1.51,,,2.5,1539.71
62,BD+20 274 b,BD+20 274,b,1,1,Radial Velocity,2012,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,25.9203179,21.0052692,-40.23345,138.9742,9.58745,31.62164,578.2,13.0,1.16,1334.886,4.2,Msini,3.34,K5 III,4296.0,17.3,0.8,1.96,,1.99,,,2.0,1322.51
63,BD+20 594 b,BD+20 594,b,1,1,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,53.6511231,20.5990205,-28.05348,166.7966,1.31208,56.28872,41.6855,2.578,0.23,22.2481,0.07,Mass,7.89,G,5766.0,1.08,1.67,-0.056,3.34,4.5,1.89,,3.3,179.461
64,BD+45 564 b,BD+45 564,b,1,1,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,32.9470485,45.9242187,-14.70463,137.23205,30.57409,47.31265,307.88,13.6,1.21,432.24663,1.36,Msini,0.944,K1,5004.0,0.81,0.81,-0.399,,4.22,2.22951,,2.0,53.622
65,BD+48 738 b,BD+48 738,b,1,1,Radial Velocity,2011,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,40.7102869,49.5869395,-9.3787,140.80848,32.03021,54.57335,392.6,13.9,1.24,289.2253,0.91,Msini,0.592,K0 III,4414.0,11.0,0.74,1.69,,2.24,,,1.0,871.493
66,BD+48 740 b,BD+48 740,b,1,1,Radial Velocity,2018,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,40.7425426,48.9300579,-9.96534,141.10904,31.4085,54.32283,733.0,13.5,1.2,540.311,1.7,Msini,1.21,K3 III,4534.0,10.33,1.09,1.64,,2.48,,746.0,0.7,666.589
67,BD+49 828 b,BD+49 828,b,1,1,Radial Velocity,2015,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,45.6406187,49.7299481,-7.80173,143.61792,31.07852,58.15184,2590.0,13.5,1.21,508.5,1.6,Msini,1.14,K0,4943.0,7.6,1.52,1.47,2.34,2.85,,,1.7,442.042
68,BD+55 362 b,BD+55 362,b,1,1,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,23.9636676,56.6982282,-5.64657,129.03163,42.69678,46.94818,265.59,14.0,1.25,228.83645,0.72,Msini,0.458,K3,5012.0,0.9,0.91,-0.313,,4.09,1.66486,,2.0,52.5697
69,BD+60 1417 b,BD+60 1417,b,1,1,Imaging,2021,Space,Wide-field Infrared Survey Explorer (WISE) Sat,0.4 m Telescope,HgCdTe and Si:As 1K Infrared Detectors,190.8875453,60.0143636,57.0861,124.74559,56.32829,152.2766,,14.684,1.31,4767.4261,15.0,Mass,8.27,K0,4993.0,0.8,1.0,0.356,0.1,4.55,2.30875,7.5,11.0,44.9543
70,BD+63 1405 b,BD+63 1405,b,1,1,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,271.3979337,63.6700064,29.1513,93.08126,87.05023,282.13451,1198.48,12.4,1.11,3305.41543,10.4,Mass,9.53,K0,5000.0,0.8,0.82,-0.413,,4.2,2.29955,,2.1,38.0473
71,BD-06 1339 b,BD-06 1339,b,1,2,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,88.2511811,-5.9963378,-15.71602,211.65797,-29.4235,87.99923,3.8728,2.85,0.254,8.5,0.027,Msini,2.02,K7/M0 V,4324.0,0.69,0.7,-1.022,4.4,4.74,2.747,,0.57,20.2695
72,BD-06 1339 c,BD-06 1339,c,1,2,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,88.2511811,-5.9963378,-15.71602,211.65797,-29.4235,87.99923,125.94,8.38,0.747,53.0,0.17,Msini,0.495,K7/M0 V,4324.0,0.69,0.7,-1.022,4.4,4.74,2.747,,0.57,20.2695
73,BD-08 2823 b,BD-08 2823,b,1,2,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,150.1971964,-9.5165689,34.75486,248.49513,-20.28382,155.83616,5.6,3.61,0.322,12.7132,0.04,Msini,1.48,K3 V,4816.0,0.71,0.5,-0.626,4.5,4.43,3.31801,,1.4,41.3342
74,BD-08 2823 c,BD-08 2823,c,1,2,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,150.1971964,-9.5165689,34.75486,248.49513,-20.28382,155.83616,237.6,12.5,1.11,104.0,0.33,Msini,0.293,K3 V,4746.0,0.72,0.74,-0.626,4.5,4.13,3.31801,,1.4,41.3342
75,BD-10 3166 b,BD-10 3166,b,1,1,Radial Velocity,2000,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,164.6191243,-10.7704227,43.23793,263.28467,-15.96792,170.13441,3.48777,14.1,1.26,187.5197,0.59,Msini,0.368,K0 V,5393.0,0.91,1.47,-0.191,1.0,4.69,1.53276,,0.92,84.4069
