rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist
2765,Kepler-1552 b,Kepler-1552,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.6768669,38.8749152,10.36849,71.47973,59.72425,304.77652,184.771853,2.47,0.22,6.66,0.021,M-R relationship,2.43,,5202.0,0.78,0.85,-0.201,3.31,4.58,1.71,,,769.096
2766,Kepler-1553 b,Kepler-1553,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.9191348,39.0221769,10.26621,71.69945,59.80976,305.22005,4.24261881,1.15,0.103,1.6,0.00505,M-R relationship,5.78,,5288.0,0.81,0.85,-0.338,4.57,4.56,2.03642,,,692.594
2767,Kepler-1554 b,Kepler-1554,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,286.576016,41.7415762,15.10187,72.46828,63.54734,298.54602,198.088774,2.9,0.259,8.75,0.0275,M-R relationship,1.97,,5297.0,0.81,0.84,-0.393,4.68,4.56,2.48796,,,946.847
2768,Kepler-1555 b,Kepler-1555,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,287.6354587,45.7160327,15.94386,76.57712,67.14576,302.99996,8.10501635,1.61,0.144,3.22,0.0101,M-R relationship,4.24,,5866.0,1.06,1.04,0.389,4.37,4.4,0.72654,,,2013.27
2769,Kepler-1556 b,Kepler-1556,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,288.3969751,40.2131892,13.22734,71.59819,61.71411,300.56999,8.82713457,1.96,0.175,4.5,0.0142,M-R relationship,3.28,,5608.0,0.95,0.97,-0.231,4.9,4.47,8.39086,,,944.54
2770,Kepler-1557 b,Kepler-1557,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,293.8813592,46.8388172,12.48692,79.48341,66.64206,314.30634,3.74032496,1.53,0.136,2.96,0.0093,M-R relationship,4.54,,6099.0,1.17,1.11,0.119,3.31,4.34,2.12805,,,1380.16
2771,Kepler-1558 b,Kepler-1558,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,286.8194349,46.9117837,16.91904,77.50759,68.45764,302.56956,3.50470358,0.68,0.061,0.244,0.00077,M-R relationship,4.26,,5101.0,0.79,0.83,-0.48,4.9,4.57,3.74289,,,325.737
2772,Kepler-1559 b,Kepler-1559,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,292.2866565,42.0725948,11.38109,74.60426,62.62175,307.74578,0.97191543,0.72,0.064,0.299,0.00094,M-R relationship,4.4,,5316.0,0.82,0.86,-0.276,4.27,4.55,1.67188,,,614.827
2773,Kepler-156 b,Kepler-156,b,1,2,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,290.2964214,37.7494271,10.84034,69.96483,58.9462,302.12048,4.973456,2.3,0.205,5.9,0.0186,M-R relationship,2.66,,5094.0,0.81,0.84,-0.44,5.37,4.55,1.63761,,,443.483
2774,Kepler-156 c,Kepler-156,c,1,2,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,290.2964214,37.7494271,10.84034,69.96483,58.9462,302.12048,15.906801,2.55,0.227,7.04,0.0221,M-R relationship,2.33,,5094.0,0.81,0.84,-0.44,5.37,4.55,2.29229,,,443.483
2775,Kepler-1560 b,Kepler-1560,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,292.7846013,43.21601,11.56277,75.81527,63.57484,309.35986,3.03195744,0.89,0.079,0.64,0.00201,M-R relationship,4.99,,5815.0,1.02,1.02,-0.034,4.17,4.43,1.4164,,,502.497
2776,Kepler-1561 b,Kepler-1561,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,296.9235822,43.5664628,9.06503,77.55482,62.78595,315.84213,1.00520701,1.09,0.097,1.32,0.00416,M-R relationship,5.6,,5957.0,1.11,1.07,-0.02,3.39,4.38,2.00283,,,839.076
2777,Kepler-1562 b,Kepler-1562,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,294.4556567,46.7435353,12.09288,79.57728,66.39439,315.10923,64.2737752,3.55,0.317,12.3,0.0388,M-R relationship,1.51,,5760.0,1.05,1.02,0.491,4.79,4.41,0.38317,,,2060.72
2778,Kepler-1563 b,Kepler-1563,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,288.5735936,51.4727698,17.54933,82.38685,72.29263,310.71592,3.43276598,0.75,0.067,0.347,0.00109,M-R relationship,4.52,,5765.0,0.99,1.0,-0.01,4.07,4.45,0.28641,,,616.697
