pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
KIC 10001893 b,KIC 10001893,b,1,3,Orbital Brightness Modulation,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,287.3892308,46.9844491,16.58578,77.7304,68.40274,303.63552,0.2197,,,,,Msini,,,27500.0,0.18,0.47,1.431,,5.35,113.61776,,,1672.94,Unknown
KIC 10001893 c,KIC 10001893,c,1,3,Orbital Brightness Modulation,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,287.3892308,46.9844491,16.58578,77.7304,68.40274,303.63552,0.32528,,,,,Msini,,,27500.0,0.18,0.47,1.431,,5.35,113.61776,,,1672.94,Unknown
KIC 10001893 d,KIC 10001893,d,1,3,Orbital Brightness Modulation,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,287.3892308,46.9844491,16.58578,77.7304,68.40274,303.63552,0.81161,,,,,Msini,,,27500.0,0.18,0.47,1.431,,5.35,113.61776,,,1672.94,Unknown
LkCa 15 b,LkCa 15,b,1,2,Imaging,2015,Ground,Large Binocular Telescope Observatory,Large Binocular Telescope,LMIRCam,69.8241791,22.3508662,-15.98175,176.68976,0.20507,71.39799,,,,,,Msini,,,4194.0,1.61,,-0.192,0.001,3.65,,,16.82,158.152,Unknown
LkCa 15 c,LkCa 15,c,1,2,Imaging,2015,Ground,Large Binocular Telescope Observatory,Large Binocular Telescope,LMIRCam,69.8241791,22.3508662,-15.98175,176.68976,0.20507,71.39799,,,,,,Msini,,,4194.0,1.61,,-0.192,0.001,3.65,,,16.82,158.152,Unknown
