pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
KMT-2021-BLG-0912L b,KMT-2021-BLG-0912L,b,1,1,Microlensing,2022,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,269.8211667,-31.9976389,-4.09097,358.85814,-8.55845,269.84663,,1.49,0.133,2.81,0.00884,Mass,4.67,K,,,0.8,,,,,,,5560.0,Super Earth
MOA-2007-BLG-192L b,MOA-2007-BLG-192L,b,1,1,Microlensing,2008,Ground,MOA,1.8 m MOA Telescope,MOA CCD Array,272.015825,-27.150075,-3.38766,4.03089,-3.72337,271.79743,,1.63,0.146,3.3,0.01,Mass,4.19,,,,0.06,,,,,,,1000.0,Super Earth
MOA-2013-BLG-605L b,MOA-2013-BLG-605L,b,1,1,Microlensing,2016,Ground,MOA,1.8 m MOA Telescope,MOA CCD Array,272.019257,-29.7315826,-4.63415,1.76466,-6.30467,271.76402,,1.62,0.144,3.24,0.0102,Mass,4.19,,,,0.02,,,,,,,850.0,Super Earth
OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L B,b,2,1,Microlensing,2014,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,268.031208,-29.8461111,-1.68315,359.94991,-6.41857,268.28165,,1.16,0.104,1.66,0.00522,Mass,5.84,,,,0.11,,,,,,,911.0,Super Earth
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,b,1,1,Microlensing,2017,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,268.847931,-30.2072506,-2.47579,359.99627,-6.77198,268.99739,,1.11,0.099,1.43,0.0045,Mass,5.75,,,,0.08,,,,,,,3910.0,Super Earth
OGLE-2017-BLG-0173L b,OGLE-2017-BLG-0173L,b,1,1,Microlensing,2018,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,267.970612,-29.2713604,-1.34501,0.41781,-5.84461,268.22057,,1.62,0.145,3.269,0.01029,Mass,4.23,,,,0.4,,,,,,,4705.0,Super Earth
OGLE-2017-BLG-1434L b,OGLE-2017-BLG-1434L,b,1,1,Microlensing,2018,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,268.2804667,-30.2456583,-2.07199,359.71528,-6.81531,268.50403,,1.94,0.173,4.43,0.01394,Mass,3.33,,,,0.23,,,,,,,860.0,Super Earth
OGLE-2018-BLG-0677L b,OGLE-2018-BLG-0677L,b,1,1,Microlensing,2020,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,268.751125,-32.0165306,-3.31375,358.38853,-8.58189,268.92912,,1.82,0.162,3.96,0.0125,Mass,3.61,,,,0.12,,,,,,,7580.0,Super Earth
OGLE-2019-BLG-0960L b,OGLE-2019-BLG-0960L,b,1,1,Microlensing,2021,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,274.0142917,-25.7746667,-4.30367,6.09788,-2.38578,273.6175,,1.39,0.124,2.5,0.00787,Mass,5.12,,,,0.5,,,,,,,980.0,Super Earth
