pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
Kepler-1812 b,Kepler-1812,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,298.0845087,40.2832525,6.6918,75.10403,59.42127,314.90648,7.16521978,2.325,0.207,6.01,0.0189,M-R relationship,2.63,,6174.0,1.1,1.16,0.28,1.0,4.42,12.53756,,,1409.19,Neptune-like
Kepler-1814 b,Kepler-1814,b,1,2,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,285.2166767,41.2824449,15.86299,71.62046,63.35018,296.08315,2.93535996,2.37,0.211,6.21,0.0195,M-R relationship,2.56,,4922.0,0.82,0.79,-0.506,,4.5,1.41522,,,726.346,Neptune-like
Kepler-1815 b,Kepler-1815,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,300.170472,43.9849048,7.24545,79.10674,62.20241,320.84259,12.19139957,2.749,0.245,7.99,0.0251,M-R relationship,2.11,,5516.0,0.97,0.86,-0.03,13.5,4.4,16.30776,,,1006.63,Neptune-like
Kepler-1817 b,Kepler-1817,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,282.0333419,44.4779955,19.1859,73.87137,66.98543,292.36355,44.29919815,2.273,0.203,5.79,0.0182,M-R relationship,2.71,,5316.0,0.92,0.88,-0.38,0.4,4.46,2.62575,,6.6,748.569,Neptune-like
Kepler-1819 b,Kepler-1819,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,296.5600307,46.8574644,10.86924,80.36156,65.88757,318.45524,16.48690033,3.904,0.348,14.5,0.0456,M-R relationship,1.34,,6090.0,1.07,1.17,0.086,0.4,4.45,1.25674,,,1363.19,Neptune-like
Kepler-182 b,Kepler-182,b,1,2,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,289.8301128,50.5862025,16.48159,81.84308,71.15721,311.82681,9.825792,2.58,0.23,7.18,0.0226,M-R relationship,2.3,,6250.0,1.15,1.16,0.344,3.09,4.4,0.19037,,,1549.09,Neptune-like
Kepler-182 c,Kepler-182,c,1,2,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,289.8301128,50.5862025,16.48159,81.84308,71.15721,311.82681,20.684342,3.43,0.306,11.6,0.0366,M-R relationship,1.58,,6250.0,1.15,1.16,0.344,3.09,4.4,0.37705,,,1549.09,Neptune-like
Kepler-1820 b,Kepler-1820,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,296.71274,48.2722828,11.44772,81.68178,67.10681,320.27411,31.03249931,3.119,0.278,9.9,0.0312,M-R relationship,1.79,,5841.0,0.93,1.05,-0.022,0.4,4.52,3.49293,,,1425.39,Neptune-like
Kepler-1821 b,Kepler-1821,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,294.5254573,49.872484,13.45418,82.46656,69.18804,318.84705,16.45809937,2.592,0.231,7.24,0.0228,M-R relationship,2.28,,5475.0,0.88,0.95,-0.124,0.4,4.52,19.06113,,,799.699,Neptune-like
Kepler-1822 b,Kepler-1822,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,297.2855,41.3055733,7.7254,75.6941,60.59479,314.53833,22.13339996,2.648,0.236,7.5,0.0236,M-R relationship,2.22,,5165.0,0.7,0.78,-0.286,0.8,4.63,23.21099,,,897.597,Neptune-like
