pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
GJ 581 c,GJ 581,c,1,3,Radial Velocity,2007,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,229.8564725,-7.7226935,40.02208,354.07234,10.25477,229.51658,12.914,2.21,0.197,5.5,0.0173,Msini,2.8,M3 V,3396.0,0.33,0.31,-1.885,4.3,4.89,12.22384,,2.1,6.2981,Neptune-like
GJ 667 C b,GJ 667 C,b,3,5,Radial Velocity,2012,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,259.7510609,-34.9977651,1.41002,351.84167,-11.86271,261.43105,7.203,2.25,0.201,5.68,0.01789,Msini,2.74,M1.5 V,3350.0,,0.33,-1.863,2.0,4.69,,,,7.24396,Neptune-like
GJ 674 b,GJ 674,b,1,1,Radial Velocity,2007,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,262.1700476,-46.8989826,-6.78174,343.00208,-23.61807,264.16888,4.6938,3.33,0.297,11.09,0.035,Msini,1.65,M2.5,3600.0,0.36,0.35,-1.796,0.55,4.86,10.21003,,1.0,4.54896,Neptune-like
GJ 676 A e,GJ 676 A,e,2,4,Radial Velocity,2012,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,262.5448903,-51.6377777,-9.54226,339.10272,-28.33425,264.74696,35.47358,2.47,0.221,6.6744,0.021,Msini,2.43,M0 V,4006.03,0.65,0.63,-1.043,,4.61,3.23229,,1.6,16.0272,Neptune-like
GJ 682 c,GJ 682,c,1,2,Radial Velocity,2014,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,264.2610245,-44.3232519,-6.63429,345.9806,-20.97147,265.60607,57.32,2.89,0.258,8.7,0.02737,Msini,1.98,M3.5 V,3028.0,0.3,0.27,-2.699,,4.93,14.59297,,,5.00671,Neptune-like
GJ 685 b,GJ 685,b,1,1,Radial Velocity,2019,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,263.8960378,61.6793482,32.5891,90.75762,84.44466,238.59491,24.16,2.95,0.263,9.0,0.02832,Msini,1.93,M0.5,3816.0,0.54,0.55,-1.253,,4.72,4.44737,18.15,1.33,14.3155,Neptune-like
GJ 687 b,GJ 687,b,1,2,Radial Velocity,2014,Ground,Lick Observatory,2.4 m Automated Planet Finder Telescope,Levy Spectrograph,264.1041731,68.3336741,31.96608,98.59611,87.12854,139.20392,38.142,4.32,0.385,17.2,0.05412,Msini,1.17,M3 V,3413.0,0.42,0.4,-1.672,,4.86,8.37834,,,4.54939,Neptune-like
GJ 687 c,GJ 687,c,1,2,Radial Velocity,2020,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,264.1041731,68.3336741,31.96608,98.59611,87.12854,139.20392,727.562,4.14,0.369,16.0,0.05034,Msini,1.24,M3.0V,3413.0,0.42,0.4,-1.672,,4.82,8.37834,,,4.54939,Neptune-like
GJ 720 A b,GJ 720 A,b,2,1,Radial Velocity,2021,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,278.8294172,45.7456038,21.73083,74.39563,68.6608,287.11923,19.466,3.77,0.336,13.64,0.04292,Msini,1.4,M0.5 V,3837.0,0.56,0.57,-1.217,,4.71,3.99136,36.05,0.99,15.5575,Neptune-like
GJ 876 d,GJ 876,d,1,4,Radial Velocity,2005,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,343.3239737,-14.2665958,-59.63511,52.00313,-6.63092,339.16805,1.93778,2.51,0.224,6.83,0.021,Mass,2.37,M4 V,3293.74,0.3,0.32,-1.907,1.0,4.87,10.86557,,0.16,4.67517,Neptune-like
