pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
Kepler-1206 b,Kepler-1206,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,295.9383737,49.7911337,12.60425,82.81438,68.68633,320.97637,1.21699766,1.64,0.146,3.33,0.0105,M-R relationship,4.15,,4877.0,0.75,0.8,-0.62,3.55,4.6,4.7099,,,762.019,Super Earth
Kepler-1207 b,Kepler-1207,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,295.0641963,49.3589615,12.91225,82.15527,68.57127,319.04587,13.68237119,1.62,0.145,3.26,0.0102,M-R relationship,4.21,,5909.0,1.06,1.06,0.638,3.63,4.41,0.8893,,,1754.19,Super Earth
Kepler-1209 b,Kepler-1209,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,287.5849352,49.1547328,17.27693,79.88527,70.39909,306.08648,25.369116,1.51,0.135,2.89,0.00909,M-R relationship,4.61,,6210.0,1.38,1.23,0.343,3.09,4.24,0.89211,,,505.531,Super Earth
Kepler-1210 b,Kepler-1210,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,292.8321598,48.2193376,13.72935,80.4378,68.1917,314.10125,8.07124073,1.7,0.152,3.53,0.0111,M-R relationship,3.95,,5568.0,0.92,0.94,-0.149,5.13,4.49,4.6734,,,1176.53,Super Earth
Kepler-1213 b,Kepler-1213,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,289.4858423,50.9441967,16.82071,82.09998,71.57349,311.67718,5.34982412,1.19,0.106,1.81,0.0057,M-R relationship,5.9,,6050.0,1.21,1.14,0.395,3.47,4.33,0.5599,,,807.812,Super Earth
Kepler-1215 b,Kepler-1215,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,297.4636477,48.1813978,10.96452,81.84303,66.79481,321.29948,4.76703963,1.22,0.109,1.98,0.00624,M-R relationship,5.99,,5616.0,0.93,0.95,-0.182,4.79,4.48,5.06537,,,661.022,Super Earth
Kepler-1216 b,Kepler-1216,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,287.4052661,45.917979,16.16963,76.70687,67.38748,302.76717,4.37034536,1.39,0.124,2.51,0.0079,M-R relationship,5.14,,5743.0,0.98,0.99,0.073,4.07,4.46,1.64385,,,1258.36,Super Earth
Kepler-1217 b,Kepler-1217,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,289.1866841,50.9375614,16.9924,82.01835,71.64616,311.12545,2.03232507,1.99,0.178,4.62,0.0145,M-R relationship,3.22,,5905.0,1.08,1.06,0.085,3.8,4.4,3.35123,,,1347.71,Super Earth
Kepler-1218 b,Kepler-1218,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.5788505,44.5316825,12.92087,76.63511,65.11031,308.53104,22.9221266,1.44,0.128,2.67,0.00839,M-R relationship,4.91,,5986.0,1.1,1.06,0.363,3.8,4.38,0.21129,,,840.503,Super Earth
Kepler-1220 b,Kepler-1220,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,297.070398,42.9777396,8.68505,77.08701,62.2023,315.55673,7.42693741,1.52,0.136,2.92,0.0092,M-R relationship,4.57,,5842.0,0.99,1.0,0.025,3.63,4.45,1.66158,,,961.907,Super Earth
