pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
OGLE-2008-BLG-355L b,OGLE-2008-BLG-355L,b,1,1,Microlensing,2014,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,269.786708,-30.7594722,-3.45246,359.92169,-7.32033,269.81521,,12.9,1.15,1500.0,4.6,Mass,3.84,,,,0.37,,,,,,,6800.0,Gas Giant
OGLE-2011-BLG-0173L b,OGLE-2011-BLG-0173L,b,1,1,Microlensing,2018,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,269.315735,-28.2338619,-1.83872,1.90945,-4.79602,269.39503,,9.01,0.804,60.0,0.19,Mass,0.451,,,,0.41,,,,,,,6100.0,Gas Giant
OGLE-2011-BLG-0251L b,OGLE-2011-BLG-0251L,b,1,1,Microlensing,2012,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,264.559083,-27.1361389,2.33357,0.67004,-3.78843,265.14888,,14.2,1.27,170.0,0.53,Mass,0.326,M,,,0.26,,,,,,,2570.0,Gas Giant
OGLE-2011-BLG-0265L b,OGLE-2011-BLG-0265L,b,1,1,Microlensing,2015,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,269.448833,-27.3945278,-1.52073,2.69543,-3.95618,269.50948,,13.9,1.24,280.0,0.88,Mass,0.573,,,,0.21,,,,,,,4380.0,Gas Giant
OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L,b,1,2,Microlensing,2012,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,263.577917,-27.14275,3.0665,0.19492,-3.83101,264.27483,,7.72,0.688,46.1,0.145,Mass,0.551,G5 V,,,1.06,,5.0,,,,,4019.0,Gas Giant
OGLE-2012-BLG-0026L c,OGLE-2012-BLG-0026L,c,1,2,Microlensing,2012,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,263.577917,-27.14275,3.0665,0.19492,-3.83101,264.27483,,13.9,1.24,270.0,0.86,Mass,0.552,G5 V,,,1.06,,5.0,,,,,4019.0,Gas Giant
OGLE-2012-BLG-0358L b,OGLE-2012-BLG-0358L,b,1,1,Microlensing,2013,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,265.694875,-24.261,2.98611,3.65449,-0.88035,266.07525,,13.4,1.2,588.0,1.85,Mass,1.34,,,,0.02,,,,,,,1760.0,Gas Giant
OGLE-2012-BLG-0406L b,OGLE-2012-BLG-0406L,b,1,1,Microlensing,2013,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,268.325708,-30.4711667,-2.21994,359.54055,-7.04034,268.54604,,13.2,1.18,868.0,2.73,Mass,2.07,,,,0.44,,,,,,,4970.0,Gas Giant
OGLE-2012-BLG-0563L b,OGLE-2012-BLG-0563L,b,1,1,Microlensing,2015,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,271.4905,-27.712,-3.25204,3.31221,-4.27956,271.32319,,13.6,1.21,120.0,0.39,Mass,0.262,,,,0.34,,,,,,,1300.0,Gas Giant
OGLE-2012-BLG-0724L b,OGLE-2012-BLG-0724L,b,1,1,Microlensing,2016,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,268.9682917,-29.8185278,-2.37051,0.38505,-6.38247,269.09545,,14.3,1.27,150.0,0.47,Mass,0.282,M V,,,0.29,,,,,,,6700.0,Gas Giant
