pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
GJ 3998 b,GJ 3998,b,1,2,Radial Velocity,2016,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,259.0020507,11.0561751,26.15047,32.27249,33.99848,256.94774,2.64977,1.38,0.123,2.47,0.00777,Msini,5.16,M1,3722.0,0.49,0.5,-1.387,,4.77,5.18823,,0.93,18.1459,Super Earth
GJ 411 b,GJ 411,b,1,2,Radial Velocity,2019,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,165.834471,35.972317,65.43126,185.11257,27.39627,152.10621,12.9394,1.45,0.129,2.69,0.00846,Msini,4.85,M1.5 V,3719.0,0.37,0.39,-1.71,8.047,4.9,9.60131,56.16,2.0,5.675773,Super Earth
GJ 486 b,GJ 486,b,1,1,Radial Velocity,2021,Ground,Calar Alto Observatory,3.5 m telescope,CARMENES,191.981531,9.7494181,72.60142,300.0371,13.69483,187.11208,1.4671205,1.343,0.12,3.0,0.00944,Mass,6.79,M3.5 V,3291.0,0.34,0.33,-1.916,4.0,4.82,11.57,49.9,2.0,8.07426,Super Earth
GJ 581 e,GJ 581,e,1,3,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,229.8564725,-7.7226935,40.02208,354.07234,10.25477,229.51658,3.149,1.17,0.104,1.7,0.0053,Msini,5.83,M3 V,3396.0,0.33,0.31,-1.885,4.3,4.89,12.22384,,2.1,6.2981,Super Earth
GJ 625 b,GJ 625,b,1,1,Radial Velocity,2017,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,246.3557854,54.3033625,42.78368,83.20997,73.27955,215.57176,14.628,1.49,0.133,2.82,0.00887,Msini,4.68,M2,3499.0,0.31,0.3,-1.894,,4.94,11.72633,77.8,0.2,6.47249,Super Earth
GJ 667 C c,GJ 667 C,c,3,5,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,259.7510609,-34.9977651,1.41002,351.84167,-11.86271,261.43105,28.14,1.77,0.158,3.8,0.012,Msini,3.77,M1.5 V,3350.0,,0.33,-1.863,2.0,4.69,,,,7.24396,Super Earth
GJ 667 C e,GJ 667 C,e,3,5,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,259.7510609,-34.9977651,1.41002,351.84167,-11.86271,261.43105,62.24,1.45,0.129,2.7,0.008,Msini,4.87,M1.5 V,3350.0,,0.33,-1.863,2.0,4.69,,,,7.24396,Super Earth
GJ 667 C f,GJ 667 C,f,3,5,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,259.7510609,-34.9977651,1.41002,351.84167,-11.86271,261.43105,39.026,1.45,0.129,2.7,0.008,Msini,4.87,M1.5 V,3350.0,,0.33,-1.863,2.0,4.69,,,,7.24396,Super Earth
GJ 667 C g,GJ 667 C,g,3,5,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,259.7510609,-34.9977651,1.41002,351.84167,-11.86271,261.43105,256.2,1.99,0.177,4.6,0.014,Msini,3.21,M1.5 V,3350.0,,0.33,-1.863,2.0,4.69,,,,7.24396,Super Earth
GJ 676 A d,GJ 676 A,d,2,4,Radial Velocity,2012,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,262.5448903,-51.6377777,-9.54226,339.10272,-28.33425,264.74696,3.60076,1.78,0.159,3.81394,0.012,Msini,3.72,M0 V,4006.03,0.65,0.63,-1.043,,4.61,3.23229,,1.6,16.0272,Super Earth
