pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
PSR B0329+54 b,PSR B0329+54,b,1,1,Pulsar Timing,2017,Ground,Multiple Facilities,Multiple Telescopes,Multiple Instruments,53.2472749,54.5791636,-1.2203,144.99499,34.26042,65.19039,10140.0,1.22,0.109,1.97,0.0062,Msini,5.96,,,,1.44,,,,,,,504.9331206,Super Earth
PSR B1257+12 c,PSR B1257+12,c,1,3,Pulsar Timing,1992,Ground,Arecibo Observatory,305 m Arecibo Radio Telescope,Arecibo Radio Reciever,195.0149029,12.6823534,75.41367,311.30973,17.5758,188.72209,66.5419,1.91,0.17,4.3,0.01353,Mass,3.39,,,,1.4,,3.0,,,,,600.0,Super Earth
PSR B1257+12 d,PSR B1257+12,d,1,3,Pulsar Timing,1992,Ground,Arecibo Observatory,305 m Arecibo Radio Telescope,Arecibo Radio Reciever,195.0149029,12.6823534,75.41367,311.30973,17.5758,188.72209,98.2114,1.8,0.161,3.9,0.01227,Mass,3.67,,,,1.4,,3.0,,,,,600.0,Super Earth
