pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
HD 116029 c,HD 116029,c,2,2,Radial Velocity,2018,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,200.1646905,24.6484725,82.97723,13.88354,30.48172,188.10915,907.0,13.7,1.22,403.6441,1.27,Msini,0.863,K0,4951.0,4.6,1.33,1.063,2.7,3.4,,,0.46,123.245,Gas Giant
HD 117207 b,HD 117207,b,1,1,Radial Velocity,2004,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,202.3368806,-35.5713041,26.66515,311.55142,-24.25186,214.38908,2621.75,13.4,1.19,669.34663,2.106,Mass,1.53,G7 IV-V,5732.0,1.07,1.05,0.066,4.192,4.37,0.94568,39.0,1.05,32.3547,Gas Giant
HD 11755 b,HD 11755,b,1,1,Radial Velocity,2015,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph,29.707836,73.1521372,10.92581,127.83989,55.18175,63.83546,433.70001,12.8,1.14,1789.3829,5.63,Msini,4.69,G5,4312.0,20.58,0.72,2.169,10.2,1.67,,,2.3,235.045,Gas Giant
HD 117618 b,HD 117618,b,1,1,Radial Velocity,2004,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,203.1066418,-47.2719049,15.02765,310.11149,-34.61403,220.68463,25.8,8.59,0.766,55.30242,0.174,Msini,0.479,G2 V,5990.0,1.2,1.08,0.213,5.6,4.41,0.93343,,3.2,37.7781,Gas Giant
HD 118203 b,HD 118203,b,1,2,Radial Velocity,2005,Ground,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,203.509956,53.7281876,62.26188,109.34478,56.46699,169.12683,6.134989,12.554,1.12,693.50158,2.182,Mass,2.1,K0 IV,5788.0,2.03,1.22,0.7,5.25,3.99,0.20894,32.0,3.23,92.2589,Gas Giant
HD 11964 b,HD 11964,b,2,2,Radial Velocity,2005,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,29.2884252,-10.2434693,-67.09225,168.57627,-20.77203,23.37422,1945.0,14.1,1.26,198.0,0.622,Msini,0.388,G9 V CN+1,5303.0,2.01,0.91,0.459,7.45,3.79,0.15806,,2.74,33.5369,Gas Giant
HD 11977 b,HD 11977,b,1,1,Radial Velocity,2005,Ground,La Silla Observatory,Multiple Telescopes,FEROS Spectrograph,28.7347403,-67.6469871,-48.35566,293.92489,-67.11235,329.02598,711.0,12.7,1.13,2080.0,6.54,Msini,5.58,G8 III/IV,4970.0,10.09,1.91,1.839,1.2,2.9,,,2.4,67.9331,Gas Giant
HD 120084 b,HD 120084,b,1,1,Radial Velocity,2013,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,205.661989,78.0646376,38.72676,119.56432,68.95086,121.2615,2142.0,12.7,1.13,2034.1018,6.4,Mass,5.46,G7 III,4879.0,10.37,2.16,1.738,1.02,2.74,,,2.44,103.044,Gas Giant
HD 121504 b,HD 121504,b,1,1,Radial Velocity,2003,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,209.3199062,-56.0404085,5.65692,312.08414,-40.70616,230.02213,63.33,13.6,1.21,479.9233,1.51,Msini,1.05,G2 V,6027.0,1.07,1.62,0.19,1.2,4.59,1.21555,,2.6,41.6592,Gas Giant
HD 12235 c,HD 12235,c,1,2,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,30.0391601,3.0959098,-55.52893,154.33809,-8.58534,29.04381,36336.70679,12.5,1.11,3135.69506,9.866,Mass,8.82,,5986.0,1.8,1.1,0.575,,3.97,0.2651,,,31.7627,Gas Giant
HD 122562 c,HD 122562,c,1,1,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,210.5886904,20.8810286,72.66307,15.63799,31.07369,200.10268,84.96276,10.1,0.903,73.10053,0.23,Msini,0.39,,4956.0,2.17,1.24,0.407,,,,,,53.2528,Gas Giant
HD 124330 b,HD 124330,b,1,1,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,212.8207093,54.4089731,59.05418,100.20285,60.64128,176.0175,270.66,14.0,1.25,238.37131,0.75,Msini,0.477,G4 IV,5873.0,1.3,1.15,0.338,,4.24,0.73677,,3.2,60.1977,Gas Giant
HD 12484 b,HD 12484,b,1,1,Radial Velocity,2016,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,30.6115322,2.8158078,-55.50619,155.46172,-9.0466,29.4916,58.83,13.2,1.17,947.1334,2.98,Msini,2.26,F8,5920.0,1.0,1.01,0.022,,4.65,1.46888,,8.2,48.3367,Gas Giant
HD 125271 b,HD 125271,b,1,1,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,216.6474037,-81.4542756,-19.26305,306.57222,-60.69356,255.8986,14901.99295,12.4,1.11,3465.60095,10.904,Mass,9.99,,4703.93,0.75,0.75,-0.604,,4.56,2.49274,,,39.3466,Gas Giant
HD 125390 b,HD 125390,b,1,1,Radial Velocity,2019,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,214.5387463,38.9669132,68.40106,71.64737,48.79229,193.541,1757.39151,11.9,1.06,8646.20398,27.204,Mass,28.2,G7 III,4882.0,6.47,1.82,1.124,,3.04,,,,153.647,Gas Giant
