pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
KIC 10068024 b,KIC 10068024,b,1,1,Orbital Brightness Modulation,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,288.8470423,47.0228607,15.68342,78.16657,68.10701,306.19978,2.073549,13.4,1.19,635.65681,2.0,Msini,1.45,,6118.4,1.57,1.22,0.496,0.56,4.09,7.78693,,,721.105,Gas Giant
KIC 5479689 b,KIC 5479689,b,1,1,Orbital Brightness Modulation,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,299.3254983,40.6381229,6.05858,75.89407,59.39572,316.88794,1.701531,14.2,1.27,158.9142,0.5,Msini,0.305,,5459.1,0.89,0.97,-0.201,,4.52,1.63536,,,454.95,Gas Giant
KIC 8121913 b,KIC 8121913,b,1,1,Orbital Brightness Modulation,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,298.9677981,43.909378,7.95154,78.59537,62.50025,319.08287,3.294601,13.4,1.19,667.43965,2.1,Msini,1.52,,5975.3,2.23,1.46,0.74,,3.9,0.12179,,,707.303,Gas Giant
Kepler-76 b,Kepler-76,b,1,1,Orbital Brightness Modulation,2013,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,294.1921185,39.6189727,8.97802,73.0559,59.83224,308.91013,1.5449298,15.244,1.36,638.8383,2.01,Mass,1.1,F,6409.0,1.32,1.2,0.451,0.62,4.2,0.96729,,6.5,822.96,Gas Giant
