pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
PSR B1620-26 b,PSR B1620-26,b,2,1,Pulsar Timing,2003,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera,245.9092617,-26.5315944,15.95997,350.97627,-4.87272,248.49878,,13.3,1.18,794.575,2.5,Mass,1.86,,,,1.35,,,,,,,,Gas Giant
PSR J1719-1438 b,PSR J1719-1438,b,1,1,Pulsar Timing,2011,Ground,Parkes Observatory,64 m Parkes Radio Telescope,Parkes Radio Receiver,259.7919708,-14.6336,12.83834,8.8585,8.45263,260.01695,0.09070629,,,382.8,1.2,Mass,23.0,,4500.0,,1.4,,12.5,,,,,1200.0,Gas Giant
PSR J2322-2650 b,PSR J2322-2650,b,1,1,Pulsar Timing,2017,Ground,Parkes Observatory,64 m Parkes Radio Telescope,Parkes Radio Receiver,350.6443481,-26.8495331,-70.22813,28.63696,-20.8969,340.4431,0.322964,13.9,1.24,252.64307,0.7949,Msini,1.84,,,,1.4,,,,,,,230.0,Gas Giant
