pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
HAT-P-7 b,HAT-P-7,b,2,1,Transit,2008,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,292.24719,47.9695429,13.97537,80.03294,68.12398,312.86431,2.20474,16.926,1.51,584.8072,1.84,Mass,0.712,,6389.0,2.0,1.56,0.814,2.07,4.07,0.27,,3.8,341.079,Gas Giant
HAT-P-70 b,HAT-P-70,b,1,1,Transit,2019,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,74.5523332,9.9979794,-19.66114,189.96459,-12.60904,74.40351,2.74432452,20.961,1.87,2154.8874,6.78,Mass,1.54,,8450.0,1.86,1.89,1.223,0.6,4.18,0.40362,,99.85,330.739,Gas Giant
HAT-P-8 b,HAT-P-8,b,3,1,Transit,2008,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,343.0414932,35.4471778,-21.38256,97.14496,38.80075,0.9286,3.07634,15.693,1.4,406.8224,1.28,Mass,0.568,F6,6200.0,1.57,1.27,0.519,3.4,4.15,0.46,,11.5,211.553,Gas Giant
HAT-P-9 b,HAT-P-9,b,1,1,Transit,2008,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor,110.1685157,37.1405946,21.4426,181.08665,14.85084,106.51575,3.92281072,15.614,1.393,238.05467,0.749,Mass,0.342,F7,6350.0,1.34,1.28,0.418,1.6,4.29,0.755,,11.9,455.203,Gas Giant
HATS-1 b,HATS-1,b,1,1,Transit,2012,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,175.5252399,-23.3548451,36.8124,282.95386,-23.09171,185.73428,3.446459,14.594,1.302,589.55,1.855,Mass,1.03,,5870.0,1.04,0.99,0.041,6.0,4.4,2.18527,,2.52,283.971,Gas Giant
HATS-10 b,HATS-10,b,1,1,Transit,2015,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,294.3068385,-22.2044872,-19.62467,17.37913,-0.63581,292.39927,3.312846,10.862,0.969,167.17858,0.526,Mass,0.7,,5880.0,1.1,1.1,0.117,3.3,4.39,1.15,,5.68,534.889,Gas Giant
HATS-11 b,HATS-11,b,1,1,Transit,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,289.4007603,-22.3900092,-15.5115,15.35571,-0.14734,287.88266,3.619188,18.03,1.609,263.7989,0.83,Mass,0.315,G0,6563.0,1.54,1.33,0.403,7.7,4.19,0.479,,3.8,944.603,Gas Giant
HATS-12 b,HATS-12,b,1,1,Transit,2016,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,289.202402,-19.3559227,-14.11663,18.14948,2.88476,288.09813,3.142702,7.76,0.692,759.6137,2.39,Mass,1.12,F,6357.0,1.17,1.16,0.863,2.36,4.36,0.269,,6.57,746.138,Gas Giant
HATS-13 b,HATS-13,b,1,1,Transit,2015,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,316.9614798,-26.0967205,-40.44359,20.64911,-9.19453,311.67275,3.0440499,13.585,1.212,172.58169,0.543,Mass,0.377,,5523.0,0.89,0.96,-0.321,2.5,4.52,1.93,,2.82,421.855,Gas Giant
HATS-14 b,HATS-14,b,1,1,Transit,2015,Ground,HATSouth,0.18 m Takahashi Epsilon Astrograph,Apogee 4K CCD Sensor,313.2154754,-25.6873756,-37.08329,20.03137,-7.84238,308.52423,2.7667641,11.646,1.039,340.39593,1.071,Mass,1.191,,5346.0,0.93,0.97,-0.173,4.9,4.48,1.682,,3.8,513.011,Gas Giant
