pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,2,3,Eclipse Timing Variations,2015,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,294.6359173,46.0664076,11.67426,79.01876,65.72534,314.70935,406.0,13.4,1.2,603.877,1.9,Mass,1.38,,29564.0,0.2,0.48,1.45,,5.51,,,,396.332,Gas Giant
Kepler-451 c,2MASS J19383260+4603591,c,2,3,Eclipse Timing Variations,2022,Space,Multiple Observatories,Multiple Telescopes,Multiple Instruments,294.6359173,46.0664076,11.67426,79.01876,65.72534,314.70935,1460.0,13.5,1.21,511.70374,1.61,Msini,1.14,,29564.0,0.2,0.48,1.45,,5.51,,,,396.332,Gas Giant
Kepler-451 d,2MASS J19383260+4603591,d,2,3,Eclipse Timing Variations,2022,Space,Multiple Observatories,Multiple Telescopes,Multiple Instruments,294.6359173,46.0664076,11.67426,79.01876,65.72534,314.70935,43.0,13.5,1.2,559.378,1.76,Msini,1.25,,29564.0,0.2,0.48,1.45,,5.51,,,,396.332,Gas Giant
MXB 1658-298 b,MXB 1658-298,b,2,1,Eclipse Timing Variations,2017,Space,Multiple Observatories,Multiple Telescopes,Multiple Instruments,255.5272522,-29.9455833,7.26551,353.82714,-7.13745,257.39394,760.0,12.0,1.07,7532.571,23.7,Mass,24.0,,,,1.98,,,,,,,,Gas Giant
NSVS 14256825 b,NSVS 14256825,b,2,1,Eclipse Timing Variations,2019,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,305.001946,4.6323715,-17.30896,47.68869,23.50727,308.57019,3225.0,12.3,1.1,4497.2945,14.15,Msini,13.3,,40000.0,0.19,0.42,1.974,,5.5,80.3914,,,820.877,Gas Giant
