pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
Kepler-122 f,Kepler-122,f,1,5,Transit Timing Variations,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.1118647,39.9490248,11.23653,72.26222,60.8791,304.56912,56.268,1.75,0.156,36.0,0.113,Mass,36.9,,6102.0,0.95,1.03,0.27,3.89,4.35,0.93373,,,1027.45,Super Earth
Kepler-338 e,Kepler-338,e,1,4,Transit Timing Variations,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,282.9790593,40.7844188,17.24444,70.48314,63.22775,292.17699,9.341,1.56,0.139,8.5,0.027,Mass,12.3,,5999.0,1.74,1.14,0.586,4.79,4.02,0.21664,,,552.798,Super Earth
Kepler-414 b,Kepler-414,b,1,2,Transit Timing Variations,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,297.9615616,48.2443363,10.70429,82.06217,66.69497,322.11659,4.7,1.71,0.153,3.5,0.011,Mass,3.85,,5536.0,0.95,0.89,-0.169,5.5,4.47,1.64198,,6.1,413.46,Super Earth
Kepler-415 b,Kepler-415,b,1,2,Transit Timing Variations,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,293.8045041,38.6390517,8.78533,72.03695,58.9988,307.74119,4.176,1.21,0.108,119.9,0.377,Mass,372.0,,4362.0,0.64,0.67,-0.805,4.9,4.62,2.40794,,,530.487,Super Earth
Kepler-415 c,Kepler-415,c,1,2,Transit Timing Variations,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,293.8045041,38.6390517,8.78533,72.03695,58.9988,307.74119,8.708,2.01,0.201,4.7,0.0148,M-R relationship,3.18,,4362.0,0.64,0.67,-0.805,4.9,4.62,4.88423,,,530.487,Super Earth
Kepler-416 b,Kepler-416,b,1,3,Transit Timing Variations,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.5569554,39.2272923,10.60929,71.75799,60.08845,304.80043,6.319,2.48,0.221,58.2,0.183,Mass,21.0,,5758.0,1.07,1.0,0.028,4.9,4.42,1.73298,,,690.819,Super Earth
Kepler-417 b,Kepler-417,b,1,2,Transit Timing Variations,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,293.8241813,42.779648,10.68732,75.76884,62.90028,310.60333,12.331,2.31,0.206,11.0,0.035,Mass,4.9,,5177.0,0.81,0.9,-0.411,4.9,4.57,3.77691,,,973.989,Super Earth
